time_stamp,actuator_state
1624871946.35177,fan_off
1624871946.91686,water_off
1624871947.20458,fan_on
1624871947.44584,fan_off
1624871947.84091,fan_on
1624871949.09597,fan_off
1624871949.50379,fan_on
1624871951.0848,fan_off
1624875361.36194,fan_on
1624875363.07208,fan_off
1624875364.20552,fan_on
1624875365.54066,fan_off
1624875368.11035,fan_on
1624875368.88606,fan_off
1624875369.34851,fan_on
1624875371.44516,fan_off
1624875372.75478,fan_on
1624875399.53666,fan_off
1624877353.8555,fan_on
1624877354.25299,fan_off
1624877363.4462,fan_on
1624877404.80928,fan_off
1624877804.17988,fan_on
1624877804.71444,fan_off
1624877814.68243,fan_on
1624877815.31372,fan_off
1624877819.74316,water_on
1624877820.35609,water_off
1624877829.31137,fan_on
1624877829.72292,fan_off
1624877846.22234,fan_on
1624877880.08086,fan_off
1624878477.28701,fan_on
1624878482.37067,fan_off
1624878483.67691,fan_on
1624878489.33896,fan_off
1624878650.25273,fan_on
1624878651.1517,fan_off
1624878651.83823,fan_on
1624878653.90813,fan_off
1624878655.93835,fan_on
1624878658.23721,fan_off
1624879396.80288,fan_on
1624879400.01272,fan_off
1624879531.7813,fan_on
1624879642.66348,fan_off
1624881576.51434,fan_on
1624881577.44301,fan_off
1624881578.385,fan_on
1624881579.04777,fan_off
1624881658.3556,fan_on
1624881658.62256,fan_off
1624881754.59462,fan_on
1624881755.64539,fan_off
1624881756.17786,fan_on
1624881757.18489,fan_off
1624881758.03599,fan_on
1624881769.99312,fan_off
1624881846.30402,water_on
1624881846.82185,water_off
1624881847.70386,uv_on
1624881848.212,water_on
1624881848.61569,light_on
1624881849.22919,light_off
1624881849.59885,water_off
1624881849.92279,uv_off
1624881857.99582,fan_on
1624881858.83743,fan_off
1624881909.49976,water_on
1624881910.33884,uv_on
1624881916.15884,uv_off
1624881916.87952,water_off
1624881917.59006,water_on
1624881918.28901,water_off
1624881918.78316,uv_on
1624881919.18067,uv_off
1624881919.79263,light_on
1624881920.33678,light_off
1624881920.88543,water_on
1624881921.24924,water_off
1624881921.63908,uv_on
1624881922.43709,uv_off
1624881927.64782,uv_on
1624881937.45335,water_on
1624881937.72778,water_off
1624881938.05996,uv_off
1624881938.77917,fan_on
1624881940.14776,fan_off
1624881940.93757,fan_on
1624881943.43596,fan_off
1624881953.20482,fan_on
1624881957.138,fan_off
1624881959.77012,fan_on
1624881962.92718,fan_off
1624881963.58364,fan_on
1624881968.60696,fan_off
1624881968.9673,fan_on
1624882112.17521,fan_off
1624882235.99881,fan_on
1624882239.06101,water_on
1624882239.23585,water_off
1624882244.16323,fan_off
1624882244.33915,fan_on
1624882244.67209,fan_off
1624885727.58941,fan_on
1624885728.16778,fan_off
1624885728.72416,fan_on
1624885729.18094,fan_off
1624885729.7133,fan_on
1624885730.19419,fan_off
1624885730.65822,fan_on
1624885731.36808,fan_off
1624885731.72391,fan_on
1624885732.0083,fan_off
1624885732.46698,fan_on
1624885732.97707,fan_off
1624885733.41344,fan_on
1624885736.38197,fan_on
1624885736.8775,fan_off
1624885737.32029,fan_on
1624885737.81365,fan_off
1624885738.33358,fan_on
1624885738.73384,fan_off
1624885740.23746,fan_on
1624885740.70854,fan_off
1624885741.21354,fan_on
1624885741.65563,fan_off
1624885742.096,fan_on
1624885742.57595,fan_off
1624885743.03422,fan_on
1624885743.53346,fan_off
1624885744.00823,fan_on
1624885744.48435,fan_off
1624885744.95851,fan_on
1624885745.53786,fan_off
1624885745.98333,fan_on
1624885746.43131,fan_off
1624885746.99056,fan_on
1624885747.19687,light_on
1624885747.43867,fan_off
1624885747.67634,fan_on
1624885747.91396,fan_off
1624885748.08388,fan_on
1624885748.27396,fan_off
1624885748.71806,fan_on
1624885748.90897,fan_off
1624885749.33901,fan_on
1624885749.81611,fan_off
1624885750.297,fan_on
1624885750.7939,fan_off
1624885751.30335,fan_on
1624885751.77268,fan_off
1624885752.16247,fan_on
1624885752.71837,fan_off
1624885753.22277,fan_on
1624885753.77862,fan_off
1624885756.17847,fan_on
1624885756.60574,light_off
1624885757.4765,fan_off
1624885757.9606,fan_on
1624885758.4719,fan_off
1624885758.94455,fan_on
1624885759.41354,fan_off
1624885759.89278,fan_on
1624885760.41673,fan_off
1624885760.90006,fan_on
1624885761.35331,fan_off
1624885761.52186,fan_on
1624885761.73232,fan_off
1624885761.92099,fan_on
1624885762.10739,fan_off
1624885762.50387,fan_on
1624885763.10385,fan_off
1624885763.73224,fan_on
1624885763.84879,fan_off
1624885764.24657,fan_on
1624885764.66603,fan_off
1624885765.34566,fan_on
1624885765.45287,fan_off
1624885765.86006,fan_on
1624885766.28752,fan_off
1624885766.78269,fan_on
1624885767.02902,fan_off
1624885767.3927,fan_on
1624885767.76758,fan_off
1624885768.17254,fan_on
1624885768.50475,fan_off
1624885768.8963,fan_on
1624885769.26921,fan_off
1624885770.96001,water_on
1624885771.55863,fan_on
1624885772.04511,fan_off
1624885772.31516,fan_on
1624885780.08155,fan_on
1624885780.8789,fan_off
1624885781.35913,fan_on
1624885781.80452,fan_off
1624885782.15578,fan_on
1624885782.36379,fan_off
1624885782.86139,fan_on
1624885783.02065,fan_off
1624885783.15901,fan_on
1624885783.65924,fan_off
1624885784.27829,fan_on
1624885791.23631,fan_on
1624885791.23093,fan_off
1624885792.21022,fan_on
1624885792.74337,fan_off
1624885793.26044,fan_on
1624885793.73514,fan_off
1624885794.11015,fan_on
1624885794.53013,fan_off
1624885794.86058,fan_on
1624885795.30103,fan_off
1624885795.49338,fan_on
1624885795.70025,fan_off
1624885795.88047,fan_on
1624885796.47976,fan_off
1624885797.16003,fan_on
1624885797.56513,fan_off
1624885798.26059,light_on
1624885798.59031,light_off
1624885799.02013,light_on
1624885799.36125,light_off
1624885799.69325,fan_on
1624885800.12986,fan_off
1624885800.36005,fan_on
1624885800.72987,fan_off
1624885801.04053,fan_on
1624885801.38069,fan_off
1624885801.65972,fan_on
1624885802.02897,fan_off
1624885802.29079,fan_on
1624885802.56005,fan_off
1624885802.89992,fan_on
1624885803.1902,fan_off
1624885803.40999,fan_on
1624885803.57082,fan_off
1624885803.72003,fan_on
1624885803.94227,fan_off
1624885804.13026,fan_on
1624885804.27008,fan_off
1624885804.42129,fan_on
1624885804.54043,fan_off
1624885804.62533,fan_on
1624885804.74012,fan_off
1624885804.89316,fan_on
1624885805.04017,fan_off
1624885805.26034,fan_off
1624885805.3605,fan_on
1624885805.49998,fan_on
1624885805.56082,fan_off
1624885805.70018,fan_on
1624885805.85018,fan_off
1624885806.01051,fan_on
